Product	Category	Description	Quantity (Stock)	Rating (x/10)	Price	ID
Shrek Toothbrush	Health	long tooth brush and bristles with shrek face handle	3	5.6	$6.56	1
Red Solo Cups	Kitchen	pack of twelve medium sized, plastic, red cups	15	1.3	$4.75	2
Richard's Red Race Car	Entertainment	A small, personalized, toy race car styled after Richard's ridicuously rad race car	1	10.0	$88.88	3
Noah's Nebulous Napkins	Kitchen	100x pack of small, black napkins with large images of Noah's face printed onto them	12	7.6	$3.50	4
Austin's Awesome Axe	Tools	A very cool looking, sharp, ruby axe	3	8.0	$53.00	5
Appol Laptop	Electronics	15" Appol Laptop with 2.2 hour battery life, newest CPU, and 1 MB of RAM and storage	4	2.5	$23,000.00	6
Ibuprofane	Health	OTC pain reliever, guaranteed pain relief for up to 6 minutes	50	9.8	$1.00	7
Programming 101	Education	A one-hundred-one page book of empty pages	20	4.4	$31.18	8
Jenny's Jangling Jeans	Clothing	Fully Threaded long jeans with real blue	10	5.3	$28.62	9
B19 Vitamins	Health	Container with 30 ct. B19 vitamins for a full daily supplement. Be careful not to OD. Do not take more than zero capsules a month	24	3.1	$38.29	10
Roid-Rage the Videogame	Entertainment	Adventure, Action game that gets your blood boiling with infuriating game design and features	36	1.1	$21.58	11
Large Bag of Croutons	Health	Bag contains six-hundred high-quality, fresh from the garden croutons with absolutely no fruit or pesticides	12	6.4	$5.65	12
Kingstory Soccer Ball	Sports	First class soccer fall straight from the green fields of England. Ball guarenteed to not explode upon first kick	26	7.5	$68.19	13
Kyle's Cleenex	Health	15 ct. tissue papers that are sure to dry up any tears over poor grades	43	8.5	$8.81	14
Retractable Spatula	Kitchen	Spatula has an incredible, amazing, revolutionary design that enables the spatula to retract into itself	27	1.4	$43.65	15
Spendy's Socks	Clothing	Spledid, super soft socks that will match any sized feet	12	9.1	$18.95	16
Choccy Bites	Health	Yummy bites of chocolate that are possibly made with real chocolate and maybe a little bit of plastic	8	7.8	$72.73	17
Steal Series Headphones	Electronics	Audio right to your ear drums. Magic. Bliss. Everything in between.	26	1.2	$15.41	18
Longsharks Pantaloons	Clothing	Wanna be a pirate? Can't be a pirate without pantaloons. Be a pirate! Arggg, matey. Only comes in EXTRA large.	27	6.2	$4.87	19
Gracky Bowls	Kitchen	You want this bowl? Come get it.	36	6.2	$8.87	20
Stung Bung A130's	Clothing	The most hip and fashionable shoes with great soles and arch support. Can't go wrong with these top notch runnies	31	7.5	$34.72	21
Ruggish Rugs	Home	The most ruggish rugs in all the lands. Straight from the floors of a Babushka's living room.	15	8.3	$313.34	22
Mikey's Microwave	Kitchen	This things gets real hot. Cooks your food through and through. About 12"x"18"	43	1.4	$12.44	23
Granny Smith Hi-Phone H	Electronics	New H phone with the latest camera, screen, and mobile CPU technology.	11	2.7	$13.80	24
Hammy Hammer	Tools	Ultra Modern, retro, rustic hammer made by Bob the Builder himself	17	6.4	$49.58	25
Cliffords Shoe Spikes	Sports	Spikes attach to the bottom of track cleats and will give you the proper traction on the track to win the gold	49	8.6	$77.89	26
X AE A-12	Entertainment	Toy that might be a boy, might be a robot, may be an alien. Not even the manufacturers know	13	7.2	$29.73	27
Spotted Hoodie	Clothing	Hoodie made of fairly decent cloth. Will keep you warm down to 40 degrees fahrenheit	16	2.4	$8.27	28
Glowing Growster Lamp	Home	Lamp glows a warm orange when powered on and continuously grows brighter for a brief period of time	30	9.6	$282.43	29
Thick Thunker	Tools	This thing really smashes the ground. Breaks up all the dirt. Made of real steel and glass.	34	6.0	$18.83	30
Veeks Vest	Clothing	Warm, wool vest that is made from the very sheep of Scotland. Weights approx. 32 lbs	44	3.2	$46.72	31
Sword Knife 6000	Kitchen	This generation of knives is one of its kind with stainless steel, sharper than any of its competitors. Slices through beef, bone, and much all in one swoop.	23	7.3	$45.72	32
Sheets Galore Galaxy	Home	Great big bed sheets that will fit all different size of beds. Comes in a wide array of colors.	40	1.9	$31.72	33
Towel Heaven Haven Holder	Home	Plugs right into the wall and holds towels. Can accomodate all dfferent sizes of towels	27	5.7	$3.65	34
Granger Golf Glub Maximums	Sports	Golf club set that includes driver, fairway wood, hybrid, irons, wedge, putter, and premium head covers	43	2.7	$12.72	35
Nork Face Fleece S1	Clothing	Jacket of fine quality and that is fashionable and durable	21	3.3	$69.98	36
Bloo Base Ball Bat	Sports	A fully wooden, fully blue baseball bat made from the dead trees in the Amazon Rainforest	34	9.9	$140.26	37
Miralacks	Health	Treatment for occassional constipation. Must consume between 4:13am and 4:27:am for maximum effectiveness. Must consume with four-course meal and six glasses of chocolate milk.	47	5.7	$65.04	38
Keeto's Kid's Stories	Education	A thrilling and insightful story for children about Keeto the Cheeto and his magical adventures in Chochungala World	15	6.8	$17.04	39
Noykee Speedsters	Clothing	These running shoes will put you first across the finish line with the fastest time. Designed with speed and care in mind	16	3.0	$83.31	40
Crabby Crab Island	Education	Children's book that will teach your child how about empathy, respect, and revenge	35	7.2	$55.28	41
Voop	Entertainment	Voop is an electronic device that will sync all of your streaming services into one software application	33	3.5	$189.70	42
The EX-BOX	Entertainment	Game Console Device that allows you access to thousands of massively popular games	50	4.2	$455.63	43
Uni Dream Machine	Electronics	VR Machine will immerse you into a new world of possibiliy, race in the Grand Prix or fight a horde of monsters. Anything is possible, make your dreams a reality.	3	10.5	$387.94	44
The Weebster Dictionary	Education	Every word ever created with its definitions	27	6.2	$25.00	45
PrayStation 7	Entertainment	Game Console Device that allows you access to thousands of massively popular games	39	1.3	$26.38	46
Charging on the Cheep	Electronics	All-around phone charger. Capable of charging any phone with its multifaceted port adapter	16	2.5	$23.77	47
Dog Ball Thrower Extreme	Entertainment	Patented device will launch balls over 3000ft. Great for keeping an overactive dog occupied.	50	4.6	$66.33	48
Copper Carburetor	Tools	Device that mixes air and fuel for internal combustion engines in an appropriate air–fuel ratio for combustion	21	6.5	$149.90	49
Fridgerton Fridge	Home	Large fridge, multiple shelves, broad and expansive freezer, plenty of room for a wide array of any of your favorite foods	10	3.2	$55.77	50
Maxwell Winter Gloves	Clothing	Never have cold hands again. These are the perfect, fashionable gloves for you, guaranteed to keep your fingies warm all winter season. One size fits all with its one-of-a-kind contraction and expansion technology.	2	7.4	$85.37	51
Man's Combo Kit	Tools	Whatever tool one could want, you've got it with this kit. Feel like a real man/woman with this all-in-one kit of tools. Great for one just starting out and needing a place to start.	14	4.7	$9.74	52
Industrial Kitchen Table	Home	Kitchen table with the durability and quality one could expect for thousands but only for a fraction of the cost	33	1.2	$464.01	53
School of The Rock Documentary	Education	The most revolutionary music education school in the world! Learn what it took to obtain this accolade with this almost-award winning documentary by Hack Brack himself	26	5.4	$24.70	54
Vroomba 8++	Electronics	Smart, programmable, and portable device will suck up all the drirt, grime, and slop off of any surface. Guaranteed to leave your floors looking shinier than ever.	21	9.7	$25.46	55
Harkens Hockey Stick	Sports	Made from the oak of some tree in Canada. You're guaranteed to have the hockey playing skills of a champ. Comes in adult and elderly sizes.	11	2.5	$40.78	56
EASTHER Big Capacity Pencil Case	Education	This pencil case can hold all the pencils you'd every want. Hold up to 200 pencils and assorted school supplies	41	7.4	$42.67	57
Meletus Matress Sparta	Home	Get the best sleep of your life. Wake up feeling like a warrior, ready to tackle the day. Made with only a whopping one spring, the rest, rat feathers	42	5.4	$1.55	58
Grand Spiral Notebook	Education	This spiral has over 600 pages of pure blank paper. Need paper in a spiral? We've got it.	33	9.5	$15.96	59
Austin's Copius Meletonin 	Health	Need help falling asleep? This will help ya right up. Made of great natural and unnatural ingredients, you're sure to be knocked out within days.	12	9.6	$38.02	60
Alpha Omega Sigma Monitor	Entertainment	6K resolution monitor, 5000Hz refresh rate, 4" diagonal	31	2.1	$10.11	61
Mega Spork Collection	Kitchen	Contains over fifty different kinds of sporks to meet all spork needs. Forks and spoons are for chumps, be smart and get yourself a spork	2	4.2	$37.09	62
Masculine to the Max Miter Saw	Tools	15 Amp 12" double bevel sliding compound saw, blade wrench, and material clamp	28	10.0	$117.67	63
Tank Tool Storage	Tools	Tank tool storage possesses six different drawers to organize all of a hardworking man/woman'	27	10.2	$73.87	64
Ridgid Saw Blade	Tools	Specialized saw blade made specifically for Rigid Saws, made of the highest quality steel, lubricated with secret oil, you'll never be wanting again.	23	4.9	$51.66	65
FLIR Optic Monocular	Electronics	Foward-Looking infrared pocket sized thermal imaging tool. See the world like never before	45	10.3	$34.02	66
Rubido Air Compressor	Tools	6 Gal. 18-Gauge Brad Nailer and Heavy-Duty Pancake Electric Air Compressor Combo Kit	18	1.3	$43.28	67
Profesional's Professional Studio Bike Pro 33	Electronics	Ever wanted to bike across the country side of France or along the Pacific West Coast? Want no longer with this exercise bike which comes with workout plans and screens that will teleport you to a long list of locations with high quality trail videos.	35	7.5	$2.21	68
Shakespeare's Juke Box	Entertainment	Listen to all of Shakepeare's classic works sung by a choir of 6 year olds. You can hardly tell it wasn't coming from Shakespeare's very mouth.	38	7.9	$21.00	69
Breath Mint Breathees	Health	Got stinky breath? Take six mints and be cured for six years. You won't find something like this anywhere on the market. BearMarket exclusive item.	47	9.2	$8.92	70
The American	Tools	An all-in-one tool kit. Contains nothing but an AR-15 and duct tape	10	2.2	$1,199.68	71
Pong Paddle	Sports	Generic Ping Pong paddle. Fits all grip sizes, returns ball to sender. Easy to pick-up, difficult to master	28	10.6	$33.59	72
Beev's TV	Electronics	An all-purpose T.V. Watch cartoons, movies, t.v. shows and more on this wonderful 240p screen device.	44	3.7	$43.40	73
Tut's Turtleneck	Clothing	Perfect for a cold neck on a cold day. Keep yourself warm and toasty. You deserve it.	34	3.8	$9.42	74
SIBO Diet Plan	Education	Think you have small intestine bacterial overgrowth? This certified diet is guarenteed to potentially alleviate symptoms.	5	4.3	$14.92	75
The Zuck	Tools	Small capacity shop vacuum with fifteen array accessories	3	2.0	$8.94	76
Columbs Pole	Sports	23' pole crafted from the industry’s strongest fiberglass material and using exclusive flex technology, the Columb Pole promises to be THE pole that will stay in your pole collection forever. For coaches who want the best vaulting pole on a budget	24	4.7	$4.79	77
Burns Welding Kit	Tools	Welding kit. Perfect for all welding needs. From small welds to great challenges. You've got all you need to get the job done.	11	10.1	$24.79	78
Preach Vaulting Mastery Compendium	Education	Learn how to pole vault like a master. Preach will share all of his secrets and practices that helped him place 129th in the Junior Olympics	44	6.6	$53.64	79
Viking Net	Sports	Volleyball net. Made of durable and quality wire mesh. Fits standard competitive net sizes.	21	2.8	$2.12	80
Guardian Ultimate Set	Sports	10-15-20-35 lb dumbell weight set. Become the ultimate Chad.	8	2.5	$79.00	81
Routers Router	Tools	20-Volt MAX XR Cordless Brushless Compact Router	11	6.2	$29.27	82
Zoots Sneakers 77	Clothing	These shoes wont make you run faster, but they'll sure make you look better. You don't need to know anything else	22	7.6	$22.71	83
Roogs Rascals Metro Game	Entertainment	The iconic classic game that everyone's heard of but never played. Now is your chance. Race your way arund Roog Metro and win the Rascal Tournament and be crowned the Roogs Rascal Champ!	39	4.4	$109.67	84
The Films	Entertainment	They are mystery films. No one knows what the films contain, but you can find out. You know what to do. Buy the films.	25	6.8	$54.92	85
Acid B-Gone	Health	Proton pump inhibitor prevents the excess production of stomach acid. Take on an empty stomach, one hour before a meal	26	5.7	$64.80	86
The One Ring	Clothing	Forged from right from Mount Doom, comes with signature by Bilbo himself	4	9.0	$44.58	87
Hawk Eye Camera	Entertainment	20x zoom, camera with adjustable zoom and 50134 settings	49	9.0	$53.77	88
Glayde Air Freshener 1-4	Home	Makes your room smell like the nostalgic aroma of your elementary school	12	2.2	$68.17	89
BOLD Tennis Balls	Sports	4ct. tennis balls with really nice neon yellow color with adequate elasticity	6	3.7	$18.02	90
YT11 Kraken	Sports	The soccer cleats are some of the most covetted in the world. Enhance your soccer abilities, dominate your enemies, defeat your enemies.	36	3.0	$13.38	91
Anarchy And Its Vision	Education	A book over the trials and tribulations of Johnny Acosta and the chaos of East Village Dining Hall	14	3.9	$29.07	92
The Finale	Home	Grand, 11'x20' projector screen that can be set up right in your backyard	44	2.3	$83.48	93
Architect's Emporium	Education	An extensive guide to all types of architecture throughout history. Learn, absorb, achieve	47	1.0	$129.66	94
Sunny Board	Sports	Surf board that is exactly what a beginner surfer needs for excellence. For ages 1-100	1	2.6	$35.90	95
 Titan's Titan Workout Plan	Health	Want guns? Get this workout plan. Twelve hours of sweat summoning exercise straight from the Titan's arsenal. Get yourself into the form you always dreamed of. 	6	8.6	$11.95	96
X20 Drill with Battery	Tools	It's a drill. A very basic drill, but at least it comes with a battery. What more could you want? Full charge in under four hours. Lasts a long time...maybe...or so i've been told.	40	5.2	$14.92	97
Brad's Spanish In Four Minutes	Education	Learn spanish rapid fire with 1000WPM speech. Guaranteed mastery in less than ten years.	49	5.2	$93.76	98
Blu-Ray Boogaloo	Entertainment	A live recording of Boogaloo Bash with artist Boog and Loo dominating the boogey music world since 1763	47	9.1	$16.95	99
Nividia GTX 10080	Electronics	The fastest GPU ever built and can run minecraft at 10000fps at 16k resollution	69	9.9	$2,999.99	100
Advanced mini devices Rizen threadshredder 10000x	Electronics	The fastest CPU on the planet with 1024 cores and 2048 threads	12	9.7	$1,999.99	101
Simpsung Milkyway 9	Electronics	2nd newest flagship samsung smartphone	10	8.7	$599.99	102
Simpsung Milkyway 10	Electronics	flagship samsung smartphone	5	8.3	$999.99	103
Austin's Airfryer	Kitchen	magical cooking machine	12	9.9	$149.99	104
Razr blackwidow spider keyboard	Electronics	Razor Mechanical Keyboard	15	9.5	$199.99	105
Noah's cool backpack	Education	Noahs awesome and very cool backpack	17	9.0	$49.99	106
Intelligent i99 9900k	Electronics	512 core and 1024 thread CPU	9	9.1	$499.99	107
Intelligent i77 9890k	Electronics	256 core and 512 thread CPU	11	8.9	$459.99	108
Intelligent i55 9700k	Electronics	128 core and 256 thread CPU	17	8.8	$359.99	109
Nividia GTX 10070	Electronics	The second fastest GPU ever built and can run minecraft at 5000fps at 16k resolution	20	8.9	$1,099.99	110
Granny Smith HI-Phone HS	Electronics	The newest hi-phone from Granny Smith	50	9.4	$959.99	111
Richard's boosty board	Electronics	Richards boosty board is the fastest and coolest electric board on the market	6	9.9	$1,299.99	112
Johnnys Fin Mouse	Electronics	Johnnys fin mouse is the coolest gaming mouse on the market. All wireless mouse.	9	9.5	$89.99	113
Hamerly's Data Structures	Education	A book all about prof. Hammerly's favorite Data Structures	16	9.7	$29.99	114
Cerny's Cool UML Diagrams	Education	A book all about prof. Cerny's favorite UML diagrams	12	9.8	$39.99	115
SteamEngine Gift Card	Entertainment	Giftcard for the SteamEngine virtual video game store	57	9.2	$50.00	116
Intelligent Pinnacle	Electronics	a single core two thread processor for all your youtube watching needs	29	7.8	$109.99	117
Blanchies' Weighted Blanket	Home	A comfortable and durable 15lbs weighted blanket	45	9.9	$39.99	118
Grand auto heist V	Electronics	Video game that only the most cool kids can play. Rob banks, steal cars, make money. The game for cool kids.	42	9.4	$59.99	119
Space-Z hoodie	Clothing	A comfortable hoodie to rep your favorite billionaire Melon Tusk	30	9.9	$34.99	120
Melon Tusk - The Man, the Myth, The Legend	Education	A Biography on the man, the myth, the legend - Melon Tusk	23	8.4	$19.99	122
Mick and Rorty T-Shirt	Clothing	A T-Shirt to rep your favorite interdimensional time traveling duo	31	8.8	$24.99	123
Monza Motorsport 8	Electronics	The newest racing game from your favorite racing series 	43	9.1	$59.99	124
